ean,category,name,price,quantity,real_price,store_id,sale_type,unit_type,typestore,typestorename
7896061934285,Ofertas,"Guardanapo Folha Simples Kitchen Com 50 Unids De 22,7 X 22,8 Cm","1,49",50,"2,59",900020401,U,Und,5f34642a745b8c52cf710746,Supermercados
7896065880106,Ofertas,"Água Mineral Sem Gás Minalba 1,5 Litros","1,99",1,"2,39",900020401,U,L,5f34642a745b8c52cf710746,Supermercados
7896002360326,Ofertas,Pao Forma 500G Pul,"4,48",500,"5,69",900020401,U,g,5f34642a745b8c52cf710746,Supermercados
7891035210006,Ofertas,Limpador Veja Multiuso 500ml,"4,04",500,"4,49",900020401,U,mL,5f34642a745b8c52cf710746,Supermercados
7891035285394,Ofertas,Limpador Multiuso Veja 700ml Original,"4,49",700,"4,99",900020401,U,mL,5f34642a745b8c52cf710746,Supermercados
7891038106504,Ofertas,Amaciante Comfort Original Clássic 2 L,"12,9",2,"15,59",900020401,U,L,5f34642a745b8c52cf710746,Supermercados
7891150044616,Ofertas,Sabonete Em Barra Corporal Dove Original 90 g 6 Unidades,"10,89",6,"15,07",900020401,U,Unidades,5f34642a745b8c52cf710746,Supermercados
7894900701609,Ofertas,Coca-Cola Sem Açúcar 600 mL,"3,49",600,"3,99",900020401,U,mL,5f34642a745b8c52cf710746,Supermercados
7898167466004,Ofertas,Palmito Pupunha Em Conserva Bonduelle 300 g,"18,79",300,"20,89",900020401,U,g,5f34642a745b8c52cf710746,Supermercados
7894900011609,Ofertas,Coca-Cola 600 mL,"3,49",600,"4,09",900020401,U,mL,5f34642a745b8c52cf710746,Supermercados
7891150020689,Produtos Mais Vendidos,Lava Roupa Líquido Omo Multiação 3 L,"28,89",3,"28,89",900020401,U,L,5f34642a745b8c52cf710746,Supermercados
7896066301457,Produtos Mais Vendidos,Pão Wickbold Do Forno 100% Integral 500 g,"8,29",500,"8,29",900020401,U,g,5f34642a745b8c52cf710746,Supermercados
7891150020672,Produtos Mais Vendidos,Sabão Líquido Brilhante 3 L,"32,19",3,"32,19",900020401,U,L,5f34642a745b8c52cf710746,Supermercados
